yearID,teamID,lgID,salary
1985,ATL,NL,14807000
1985,BAL,AL,11560712
1985,BOS,AL,10897560
1985,CAL,AL,14427894
1985,CHA,AL,9846178
1985,CHN,NL,12702917
1985,CIN,NL,8359917
1985,CLE,AL,6551666
1985,DET,AL,10348143
1985,HOU,NL,9993051
1985,KCA,AL,9321179
1985,LAN,NL,10967917
1985,MIN,AL,5764821
1985,ML4,AL,11284107
1985,MON,NL,9470166
1985,NYA,AL,14238204
1985,NYN,NL,10834762
1985,OAK,AL,9058606
1985,PHI,NL,10124966
1985,PIT,NL,9227500
1985,SDN,NL,11036583
1985,SEA,AL,4613000
1985,SFN,NL,8221714
1985,SLN,NL,11817083
1985,TEX,AL,7676500
1985,TOR,AL,8812550
1986,ATL,NL,17102786
1986,BAL,AL,13001258
1986,BOS,AL,14402239
1986,CAL,AL,14427258
1986,CHA,AL,10418819
1986,CHN,NL,17208165
1986,CIN,NL,11906388
1986,CLE,AL,7809500
1986,DET,AL,12335714
1986,HOU,NL,9873276
1986,KCA,AL,13043698
1986,LAN,NL,14913776
1986,MIN,AL,8748167
1986,ML4,AL,9943642
1986,MON,NL,11103600
1986,NYA,AL,18494253
1986,NYN,NL,15393714
1986,OAK,AL,9779421
1986,PHI,NL,11590166
1986,PIT,NL,10843500
1986,SDN,NL,11380693
1986,SEA,AL,5958309
1986,SFN,NL,8947000
1986,SLN,NL,9875010
1986,TEX,AL,6743119
1986,TOR,AL,12611047
1987,ATL,NL,16544560
1987,BAL,AL,13900273
1987,BOS,AL,10144167
1987,CAL,AL,12843499
1987,CHA,AL,10641843
1987,CHN,NL,14307999
1987,CIN,NL,9281500
1987,CLE,AL,8513750
1987,DET,AL,12122881
1987,HOU,NL,12608371
1987,KCA,AL,11828056
1987,LAN,NL,13675403
1987,MIN,AL,6397500
1987,ML4,AL,7293224
1987,MON,NL,6942052
1987,NYA,AL,17099714
1987,NYN,NL,13846714
1987,OAK,AL,11680839
1987,PHI,NL,11514233
1987,PIT,NL,7652000
1987,SDN,NL,11065796
1987,SEA,AL,2263500
1987,SFN,NL,7290000
1987,SLN,NL,11758000
1987,TEX,AL,880000
1987,TOR,AL,10479501
1988,ATL,NL,12728174
1988,BAL,AL,13532075
1988,BOS,AL,13896092
1988,CAL,AL,11947388
1988,CHA,AL,6390000
1988,CHN,NL,13119198
1988,CIN,NL,8888409
1988,CLE,AL,8936500
1988,DET,AL,12869571
1988,HOU,NL,12286167
1988,KCA,AL,14556562
1988,LAN,NL,16850515
1988,MIN,AL,12462666
1988,ML4,AL,8402000
1988,MON,NL,9603333
1988,NYA,AL,19441152
1988,NYN,NL,15269314
1988,OAK,AL,9690000
1988,PHI,NL,13838000
1988,PIT,NL,5998500
1988,SDN,NL,9561002
1988,SEA,AL,7342450
1988,SFN,NL,12380000
1988,SLN,NL,12880000
1988,TEX,AL,5342131
1988,TOR,AL,12241225
1989,ATL,NL,11112334
1989,BAL,AL,8275167
1989,BOS,AL,17481748
1989,CAL,AL,15097833
1989,CHA,AL,7265410
1989,CHN,NL,10668000
1989,CIN,NL,11072000
1989,CLE,AL,9094500
1989,DET,AL,15146404
1989,HOU,NL,15029500
1989,KCA,AL,18683568
1989,LAN,NL,21071562
1989,MIN,AL,15531666
1989,ML4,AL,11533000
1989,MON,NL,13807389
1989,NYA,AL,17114375
1989,NYN,NL,19885071
1989,OAK,AL,15613070
1989,PHI,NL,10604000
1989,PIT,NL,12737500
1989,SDN,NL,14195000
1989,SEA,AL,9779500
1989,SFN,NL,14962834
1989,SLN,NL,16078833
1989,TEX,AL,11893781
1989,TOR,AL,16261666
1990,ATL,NL,14555501
1990,BAL,AL,9680084
1990,BOS,AL,20558333
1990,CAL,AL,21720000
1990,CHA,AL,9491500
1990,CHN,NL,13624000
1990,CIN,NL,14370000
1990,CLE,AL,14487000
1990,DET,AL,17593238
1990,HOU,NL,18330000
1990,KCA,AL,23361084
1990,LAN,NL,21318704
1990,MIN,AL,14602000
1990,ML4,AL,19719167
1990,MON,NL,16586388
1990,NYA,AL,20912318
1990,NYN,NL,21722834
1990,OAK,AL,19887501
1990,PHI,NL,13173667
1990,PIT,NL,15556000
1990,SDN,NL,17588334
1990,SEA,AL,12553667
1990,SFN,NL,19335333
1990,SLN,NL,20523334
1990,TEX,AL,14874372
1990,TOR,AL,17756834
1991,ATL,NL,18403500
1991,BAL,AL,17519000
1991,BOS,AL,35167500
1991,CAL,AL,33060001
1991,CHA,AL,16919667
1991,CHN,NL,23175667
1991,CIN,NL,26305333
1991,CLE,AL,17635000
1991,DET,AL,23838333
1991,HOU,NL,12852500
1991,KCA,AL,26319834
1991,LAN,NL,32790664
1991,MIN,AL,23361833
1991,ML4,AL,23115500
1991,MON,NL,10732333
1991,NYA,AL,27344168
1991,NYN,NL,32590001
1991,OAK,AL,36999167
1991,PHI,NL,22487332
1991,PIT,NL,23634667
1991,SDN,NL,22150001
1991,SEA,AL,15691833
1991,SFN,NL,30967666
1991,SLN,NL,21860001
1991,TEX,AL,18224500
1991,TOR,AL,19902417
1992,ATL,NL,34625333
1992,BAL,AL,23780667
1992,BOS,AL,43610584
1992,CAL,AL,34749334
1992,CHA,AL,30160833
1992,CHN,NL,29829686
1992,CIN,NL,35931499
1992,CLE,AL,9373044
1992,DET,AL,27322834
1992,HOU,NL,15407500
1992,KCA,AL,33893834
1992,LAN,NL,44788166
1992,MIN,AL,28027834
